model_name,source,wrapper,m_head,batch_size,latency_sec,throughput_samples_per_sec
Swin_S,torchvision,duo,2,32,0.3157305145263672,101.35225620495933
Swin_T,torchvision,base,1,32,0.09164613246917724,349.16912626686513
Swin_T,torchvision,temp_scale,1,32,0.09165258407592773,349.14454756114947
Swin_T,torchvision,shallow_ensemble,2,32,0.09217628479003906,347.1608784503544
Swin_T,torchvision,duo,2,32,0.18330130100250244,174.5759567716496
Swin_V2_B,torchvision,base,1,32,0.29174368381500243,109.68532234031677
Swin_V2_B,torchvision,temp_scale,1,32,0.2915558958053589,109.7559694740765
Swin_V2_B,torchvision,shallow_ensemble,2,32,0.2910089921951294,109.96223779416114
Swin_V2_B,torchvision,duo,2,32,0.5822748851776123,54.95686112279939
Swin_V2_S,torchvision,base,1,32,0.19541141510009766,163.75706600153478
Swin_V2_S,torchvision,temp_scale,1,32,0.19608871936798095,163.19143754490364
Swin_V2_S,torchvision,shallow_ensemble,2,32,0.19641014099121093,162.92437772564887
Swin_V2_S,torchvision,duo,2,32,0.39156481742858884,81.72337905674061
Swin_V2_T,torchvision,base,1,32,0.1114681339263916,287.0775608491959
Swin_V2_T,torchvision,temp_scale,1,32,0.11147049427032471,287.0714820946024
Swin_V2_T,torchvision,shallow_ensemble,2,32,0.11140482425689698,287.24070266659845
Swin_V2_T,torchvision,duo,2,32,0.2228510046005249,143.5936986569215
tf_efficientnetv2_l.in21k_ft_in1k,timm,base,1,32,0.21481556415557862,148.96499760522116
tf_efficientnetv2_l.in21k_ft_in1k,timm,temp_scale,1,32,0.21483156681060792,148.95390130543845
tf_efficientnetv2_l.in21k_ft_in1k,timm,shallow_ensemble,2,32,0.21488004684448242,148.9202951596512
tf_efficientnetv2_l.in21k_ft_in1k,timm,duo,2,32,0.42973804473876953,74.46396797251744
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,timm,base,1,32,0.20934634208679198,152.85674295055637
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,timm,temp_scale,1,32,0.20941701412200928,152.80515833043228
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,timm,shallow_ensemble,2,32,0.2095882225036621,152.68033488590166
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,timm,duo,2,32,0.41932021617889403,76.31399289927839
